iter	Passed	Remaining
0	1	157
1	2	136
2	4	130
3	5	129
4	7	135
5	8	137
6	10	133
7	11	128
8	12	126
9	13	122
10	14	118
11	15	115
12	17	114
13	18	112
14	20	113
15	21	113
16	22	111
17	24	109
18	25	107
19	26	105
20	27	103
21	28	102
22	29	100
23	31	100
24	33	101
25	36	102
26	37	100
27	38	99
28	39	97
29	40	95
30	42	93
31	43	92
32	44	91
33	46	89
34	47	89
35	49	87
36	50	85
37	51	83
38	52	82
39	53	80
40	55	79
41	56	77
42	58	77
43	60	76
44	61	74
45	62	73
46	64	72
47	65	70
48	66	69
49	67	67
50	70	67
51	72	66
52	73	65
53	74	63
54	75	62
55	76	60
56	78	58
57	79	57
58	80	55
59	81	54
60	82	52
61	84	51
62	85	50
63	87	49
64	88	47
65	89	46
66	90	44
67	92	43
68	93	41
69	94	40
70	95	39
71	97	37
72	98	36
73	100	35
74	101	33
75	102	32
76	103	30
77	104	29
78	106	28
79	107	26
80	108	25
81	110	24
82	112	23
83	114	21
84	115	20
85	116	19
86	118	17
87	119	16
88	120	14
89	121	13
90	122	12
91	124	10
92	125	9
93	127	8
94	128	6
95	129	5
96	130	4
97	131	2
98	132	1
99	134	0
